5/3/2020 11:51 | /src/exceptions/Handler.js(53) | saSI6I6MfGbmszGjPii0WuHNpSBDsWGK | IP - Unknown | [error] | URL : http://192.168.10.118:2085/api/user/create_driver | Request : {} | Error : Invalid token provided.
5/3/2020 11:51 | /src/responses/response.js(42) | saSI6I6MfGbmszGjPii0WuHNpSBDsWGK | IP - Unknown | [error] | URL : http://192.168.10.118:2085/api/user/create_driver | Request : {} | Error : Unauthorized access. Invalid token provided.
5/3/2020 12:09 | /src/responses/response.js(26) | JsLMfLTsVkqRpl8b7das6rwIxv2lmpVk | IP - Unknown | [info] | URL : http://192.168.10.118:2084/or1.0/v1/api/user/login | Request : {} | Response :  {"userId":2,"firstName":"Super Admin ","lastName":"Root","emailId":"pickups@joshiinc.com","typeId":1,"status":1,"createdAt":"2020-02-20T06:09:15.000Z","updatedAt":"2020-02-20T06:09:15.000Z","createdBy":null,"updatedBy":2,"userDetails":{"detailsId":2,"emailStatus":2,"signUpStatus":9,"phoneNo":"11111111111111"},"changedPassword":true,"token":"Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjIsInR5cGUiOiJsb2dpbiIsImlhdCI6MTU4MzM5MDM2MH0.ldmCYtX90dcQgVWhJQSrAEI-1xd7eeH7Lc5cQQN2wdI"}
5/3/2020 12:14 | /src/exceptions/Handler.js(26) | eCW64h0OLV3Os9N5g5QwUeVTF5lssUjy | IP - Unknown | [error] | URL : http://192.168.10.118:2084/api/user/create_driver | Request : {} | Error : insert into `pickup_user`.`PODU04_USER_DETAIL` (`PODU03_USER_MASTER_D`, `PODU04_AGE_D`, `PODU04_CREATED_D`, `PODU04_EMAIL_STATUS_D`, `PODU04_EXPERIENCE_D`, `PODU04_GENDER_D`, `PODU04_OTHER_SERVICE_INFO`, `PODU04_PHONE_N`, `PODU04_SIGNUP_STATUS_D`, `PODU04_WORKING_WITH_OTHERS`) values (327, '20', 2, 2, '5', '1', 'Service info', '12345678901', 2, 'false') - ER_TRUNCATED_WRONG_VALUE_FOR_FIELD: Incorrect integer value: 'false' for column 'PODU04_WORKING_WITH_OTHERS' at row 1
5/3/2020 12:14 | /src/responses/response.js(42) | eCW64h0OLV3Os9N5g5QwUeVTF5lssUjy | IP - Unknown | [error] | URL : http://192.168.10.118:2084/api/user/create_driver | Request : {} | Error : Something went wrong. Please try again insert into `pickup_user`.`PODU04_USER_DETAIL` (`PODU03_USER_MASTER_D`, `PODU04_AGE_D`, `PODU04_CREATED_D`, `PODU04_EMAIL_STATUS_D`, `PODU04_EXPERIENCE_D`, `PODU04_GENDER_D`, `PODU04_OTHER_SERVICE_INFO`, `PODU04_PHONE_N`, `PODU04_SIGNUP_STATUS_D`, `PODU04_WORKING_WITH_OTHERS`) values (327, '20', 2, 2, '5', '1', 'Service info', '12345678901', 2, 'false') - ER_TRUNCATED_WRONG_VALUE_FOR_FIELD: Incorrect integer value: 'false' for column 'PODU04_WORKING_WITH_OTHERS' at row 1
5/3/2020 12:15 | /src/responses/response.js(61) | 4njTvmkjMn8e5ztwVyZdhFYcRoiY3z1p | IP - Unknown | [error] | URL : http://192.168.10.118:2084/api/user/create_driver | Request : {} | BadRequestError : {"personalDetails":"workingWithOthers must be a number"}
5/3/2020 12:16 | /src/exceptions/Handler.js(44) | OESfaLl0mXftl30iWTBiTdGhus1XP8Pc | IP - Unknown | [error] | URL : http://192.168.10.118:2084/api/user/create_driver | Request : {} | Error : User already exist!
5/3/2020 12:16 | /src/responses/response.js(42) | OESfaLl0mXftl30iWTBiTdGhus1XP8Pc | IP - Unknown | [error] | URL : http://192.168.10.118:2084/api/user/create_driver | Request : {} | Error : Invalid request. User already exist!
5/3/2020 12:16 | /src/responses/response.js(26) | IEhfW5oCEeM0UcYs6O5qC9wPKP2BvdU7 | IP - Unknown | [info] | URL : http://192.168.10.118:2084/api/user/create_driver | Request : {} | Response :  {"userId":329,"firstName":"Driver","lastName":"Driver","emailId":"testnamez@gmail.com","typeId":3,"status":1,"createdAt":"2020-03-05T06:46:50.000Z","updatedAt":"2020-03-05T06:46:50.000Z","createdBy":2,"updatedBy":null,"userDetails":{"detailsId":255,"userId":329,"emailStatus":2,"phone":"12345678901","age":20,"gender":1,"experience":5,"profilePicture":"http://180.151.69.138:2081/public/uploads/1583390809923.png","userprofile":"http://180.151.69.138:2081/public/uploads/1583390809923.png","workingWithOthers":1,"otherServiceInfo":"Service info","description":"Service info"},"addressDetails":{"addressId":189,"addressLine1":"Address goes here","userAddress":"Address goes here","addressLine2":null,"postalCode":null,"latitude":null,"longitude":null,"createdAt":"2020-03-05T06:46:50.000Z","updatedAt":"2020-03-05T06:46:50.000Z","createdBy":2,"updatedBy":null},"vehicleDetails":{"vehicleId":156,"type":"Sedan","vehicleType":"Sedan","make":"Make","model":"ModelV1","vin":"12345678978945678","color":"white","licensePlate":"123-ABC","seatsUp":"4","seatsDown":"4","createdAt":"2020-03-05T06:46:50.000Z","updatedAt":"2020-03-05T06:46:50.000Z","createdBy":2,"updatedBy":null},"financialDetails":{"financialId":37,"bankName":"Bank name #1","accountNumber":"1234567891234","institutionNumber":"123","transitNumber":"12345","createdAt":"2020-03-05T06:46:50.000Z","updatedAt":"2020-03-05T06:46:50.000Z","createdBy":2,"updatedBy":null},"documents":[{"documentId":173,"name":"Financial document","type":5,"status":2,"path":"http://180.151.69.138:2081/public/uploads/1583390809958.jpg","createdAt":"2020-03-05T06:46:50.000Z","updatedAt":"2020-03-05T06:46:50.000Z","createdBy":2,"updatedBy":null},{"documentId":174,"name":"License document","type":6,"status":2,"path":"http://180.151.69.138:2081/public/uploads/1583390809958.jpg","createdAt":"2020-03-05T06:46:50.000Z","updatedAt":"2020-03-05T06:46:50.000Z","createdBy":2,"updatedBy":null},{"documentId":175,"name":"PCC document","type":7,"status":2,"path":"http://180.151.69.138:2081/public/uploads/1583390809959.jpg","createdAt":"2020-03-05T06:46:50.000Z","updatedAt":"2020-03-05T06:46:50.000Z","createdBy":2,"updatedBy":null},{"documentId":176,"name":"Insurance document","type":8,"status":2,"path":"http://180.151.69.138:2081/public/uploads/1583390809959.jpg","createdAt":"2020-03-05T06:46:50.000Z","updatedAt":"2020-03-05T06:46:50.000Z","createdBy":2,"updatedBy":null},{"documentId":177,"name":"Ownership document","type":9,"status":2,"path":"http://180.151.69.138:2081/public/uploads/1583390809959.jpg","createdAt":"2020-03-05T06:46:50.000Z","updatedAt":"2020-03-05T06:46:50.000Z","createdBy":2,"updatedBy":null}]}
5/3/2020 12:17 | /src/responses/response.js(61) | ooQ58i5N2awNpixAzh4uEj2gJjqvEDld | IP - Unknown | [error] | URL : http://192.168.10.118:2084/api/user/create_driver | Request : {} | BadRequestError : {"financialDetails":"bankName is not allowed to be empty"}
5/3/2020 12:18 | /src/responses/response.js(61) | Yxy3sl7ELBtPh8KthThJ10dO6Co7IYsF | IP - Unknown | [error] | URL : http://192.168.10.118:2084/api/user/create_driver | Request : {} | BadRequestError : {"financialDetails":"institutionNumber length must be 3 characters long"}
5/3/2020 12:19 | /src/responses/response.js(61) | E8AtIG6moh15CqhJDkoS9JXrN7rO0wbB | IP - Unknown | [error] | URL : http://192.168.10.118:2084/api/user/create_driver | Request : {} | BadRequestError : {"financialDetails":"institutionNumber length must be 3 characters long"}
5/3/2020 12:19 | /src/responses/response.js(61) | YUWWqr1iiX4Jaxq2wYrhVVwHtikIyvDh | IP - Unknown | [error] | URL : http://192.168.10.118:2084/api/user/create_driver | Request : {} | BadRequestError : {"financialDetails":"institutionNumber length must be 3 characters long"}
5/3/2020 12:20 | /src/responses/response.js(61) | 7rI3ENcMVQTiNRv3LBC15a3EjGRbHorQ | IP - Unknown | [error] | URL : http://192.168.10.118:2084/api/user/create_driver | Request : {} | BadRequestError : {"financialDetails":"institutionNumber length must be 3 characters long"}
5/3/2020 12:20 | /src/responses/response.js(61) | 30HV4rsVVwcbtrZO2WzExDeYUJ6Fr59u | IP - Unknown | [error] | URL : http://192.168.10.118:2084/api/user/create_driver | Request : {} | BadRequestError : {"financialDetails":"institutionNumber length must be 3 characters long"}
5/3/2020 12:21 | /src/responses/response.js(61) | bCCr6j2L44YBbpV9GTv4W20q0YcrOXt0 | IP - Unknown | [error] | URL : http://192.168.10.118:2084/api/user/create_driver | Request : {} | BadRequestError : {"financialDetails":"institutionNumber length must be 3 characters long"}
5/3/2020 12:21 | /src/responses/response.js(61) | bezJyyM2uxevlAPpaORpHE8Zxisqwknf | IP - Unknown | [error] | URL : http://192.168.10.118:2084/api/user/create_driver | Request : {} | BadRequestError : {"financialDetails":"institutionNumber length must be 3 characters long"}
5/3/2020 12:22 | /src/responses/response.js(26) | i5j3tDOsUrFeIjKerLL3BLBp1reREwVt | IP - Unknown | [info] | URL : http://192.168.10.118:2084/api/user/create_driver | Request : {} | Response :  {"userId":330,"firstName":"Driver","lastName":"Driver","emailId":"testnamez12@gmail.com","typeId":3,"status":1,"createdAt":"2020-03-05T06:52:54.000Z","updatedAt":"2020-03-05T06:52:54.000Z","createdBy":2,"updatedBy":null,"userDetails":{"detailsId":256,"userId":330,"emailStatus":2,"phone":"12345678901","age":20,"gender":1,"experience":5,"profilePicture":"http://180.151.69.138:2081/public/uploads/1583391174480.png","userprofile":"http://180.151.69.138:2081/public/uploads/1583391174480.png","workingWithOthers":1,"otherServiceInfo":"Service info","description":"Service info"},"addressDetails":{"addressId":190,"addressLine1":"Address goes here","userAddress":"Address goes here","addressLine2":null,"postalCode":null,"latitude":null,"longitude":null,"createdAt":"2020-03-05T06:52:54.000Z","updatedAt":"2020-03-05T06:52:54.000Z","createdBy":2,"updatedBy":null},"vehicleDetails":{"vehicleId":157,"type":"Sedan","vehicleType":"Sedan","make":"Make","model":"ModelV1","vin":"12345678978945678","color":"white","licensePlate":"123-ABC","seatsUp":"4","seatsDown":"4","createdAt":"2020-03-05T06:52:54.000Z","updatedAt":"2020-03-05T06:52:54.000Z","createdBy":2,"updatedBy":null},"financialDetails":{"financialId":38,"bankName":"Test name","accountNumber":"1234567891234","institutionNumber":"","transitNumber":"12345","createdAt":"2020-03-05T06:52:54.000Z","updatedAt":"2020-03-05T06:52:54.000Z","createdBy":2,"updatedBy":null},"documents":[{"documentId":178,"name":"Financial document","type":5,"status":2,"path":"http://180.151.69.138:2081/public/uploads/1583391174511.jpg","createdAt":"2020-03-05T06:52:54.000Z","updatedAt":"2020-03-05T06:52:54.000Z","createdBy":2,"updatedBy":null},{"documentId":179,"name":"License document","type":6,"status":2,"path":"http://180.151.69.138:2081/public/uploads/1583391174511.jpg","createdAt":"2020-03-05T06:52:54.000Z","updatedAt":"2020-03-05T06:52:54.000Z","createdBy":2,"updatedBy":null},{"documentId":180,"name":"PCC document","type":7,"status":2,"path":"http://180.151.69.138:2081/public/uploads/1583391174511.jpg","createdAt":"2020-03-05T06:52:54.000Z","updatedAt":"2020-03-05T06:52:54.000Z","createdBy":2,"updatedBy":null},{"documentId":181,"name":"Insurance document","type":8,"status":2,"path":"http://180.151.69.138:2081/public/uploads/1583391174512.jpg","createdAt":"2020-03-05T06:52:54.000Z","updatedAt":"2020-03-05T06:52:54.000Z","createdBy":2,"updatedBy":null},{"documentId":182,"name":"Ownership document","type":9,"status":2,"path":"http://180.151.69.138:2081/public/uploads/1583391174512.jpg","createdAt":"2020-03-05T06:52:54.000Z","updatedAt":"2020-03-05T06:52:54.000Z","createdBy":2,"updatedBy":null}]}
