12/3/2020 11:10 | /src/exceptions/Handler.js(53) | GQdxbQfQdS31s39x8mgR4g4AM1Jiy9bB | IP - Unknown | [error] | URL : http://192.168.10.118:2081/api/user/drivers?page=1&chunk=10&status=1 | Request : {} | Error : Invalid token provided.
12/3/2020 11:10 | /src/responses/response.js(42) | GQdxbQfQdS31s39x8mgR4g4AM1Jiy9bB | IP - Unknown | [error] | URL : http://192.168.10.118:2081/api/user/drivers?page=1&chunk=10&status=1 | Request : {} | Error : Unauthorized access. Invalid token provided.
12/3/2020 11:11 | /src/responses/response.js(26) | ledxo74oXoW8qM81ZnxeQpHEWPKHXgVU | IP - Unknown | [info] | URL : http://192.168.10.118:2081/api/user/drivers?page=1&chunk=10&status=1 | Request : {} | Response :  {"list":[{"userId":10,"firstName":"name change","lastName":"Aaron","emailId":"bhupathy@askpundit.com","status":1,"updatedAt":"2020-02-20T08:53:56.000Z","phoneNo":"919-952-0100","vin":"2316FDfLKGDNFGSDF"},{"userId":13,"firstName":"hzjsjss","lastName":"hshhhs","emailId":"hhh@gmail.com","status":1,"updatedAt":"2020-02-20T11:35:53.000Z","phoneNo":"+958-569-4633","vin":"HjHahhaha25266266"},{"userId":15,"firstName":"Barnabas","lastName":"Aaron","emailId":"boss@gmail.com","status":1,"updatedAt":"2020-02-20T12:54:31.000Z","phoneNo":"+845-454-5455","vin":"BAJAJ17172717UWJW"},{"userId":12,"firstName":"sunil","lastName":"test","emailId":"ss@gmail.com","status":1,"updatedAt":"2020-02-20T10:12:49.000Z","phoneNo":"+997-666-4644","vin":"HSHSHJEJSJ6226727"},{"userId":18,"firstName":"krishna","lastName":"raj","emailId":"krishnaDrive@mailinator.com","status":1,"updatedAt":"2020-02-20T14:24:53.000Z","phoneNo":"875-400-0000","vin":"1HGCM182633A00435"},{"userId":23,"firstName":"prashanth","lastName":"niba","emailId":"nivasprashanth@gmail.com","status":1,"updatedAt":"2020-02-20T16:16:35.000Z","phoneNo":"+885-777-7575","vin":"7273728U727288282"},{"userId":59,"firstName":"Barnabas","lastName":"Aaron","emailId":"boss@mailinator.com","status":1,"updatedAt":"2020-02-21T13:51:43.000Z","phoneNo":"+979-967-7777","vin":"SHHSUSU727272JWUS"},{"userId":69,"firstName":"krishnaa","lastName":"reajj","emailId":"krishna2@mailinator.com","status":1,"updatedAt":"2020-02-21T15:15:38.000Z","phoneNo":"123-123-1231","vin":"23423423423423412"},{"userId":67,"firstName":"hshshhshs","lastName":"hshshhshs","emailId":"sunil3@mailinator.com","status":1,"updatedAt":"2020-02-21T15:08:26.000Z","phoneNo":"+456-879-3215","vin":"AFG234RTYJKIU1234"},{"userId":71,"firstName":"bzsjj","lastName":"jsjs","emailId":"tt@mailinator.com","status":1,"updatedAt":"2020-02-21T15:53:44.000Z","phoneNo":"+466-466-4646","vin":"SHJSJSJJ188818181"}],"pageMetaData":{"chunk":10,"total":85,"page":1,"totalPages":9}}
12/3/2020 11:11 | /src/responses/response.js(26) | WPV2dmTQXWg5ky4f5XBpxNUhNqLSNsT2 | IP - Unknown | [info] | URL : http://192.168.10.118:2081/api/user/drivers?page=2&chunk=10&status=1 | Request : {} | Response :  {"list":[{"userId":73,"firstName":"himabindu","lastName":"avi","emailId":"naveenm96@gmail.com","status":1,"updatedAt":"2020-02-24T04:34:45.000Z","phoneNo":"+123-456-7890","vin":"1234458999166E647"},{"userId":106,"firstName":"bharti","lastName":"patel","emailId":"bhartidriver@mailinator.com","status":1,"updatedAt":"2020-02-25T21:02:04.000Z","phoneNo":"+111-111-1111","vin":"1HGC82633A0043567"},{"userId":120,"firstName":"patel","lastName":"bharti","emailId":"patel@mailinator.com","status":1,"updatedAt":"2020-02-26T15:43:14.000Z","phoneNo":"+647-785-9596","vin":"2468926W68W5W67Q8"},{"userId":109,"firstName":"Chris","lastName":"pud","emailId":"pudchris@mailinator.com","status":1,"updatedAt":"2020-02-26T01:52:27.000Z","phoneNo":"+416-668-5123","vin":"JM1GJ1V51E1109106"},{"userId":43,"firstName":"Kick","lastName":"Bhupathi","emailId":"bhupathy1@mailinator.com","status":1,"updatedAt":"2020-02-21T11:00:34.000Z","phoneNo":"+937-507-8906","vin":"FGHHJHGGHB45FGHJJ"},{"userId":122,"firstName":"pooja","lastName":"Hariprasad","emailId":"pickupsdriver1@mailinator.com","status":1,"updatedAt":"2020-02-26T16:15:34.000Z","phoneNo":"+111-111-1111","vin":"123456789012345WT"},{"userId":124,"firstName":"hima","lastName":"avi","emailId":"pickupsdriver2@mailinator.com","status":1,"updatedAt":"2020-02-26T16:49:15.000Z","phoneNo":"+111-111-1111","vin":"12YEYE78TO6699DJJ"},{"userId":125,"firstName":"Nikatha","lastName":"App","emailId":"pickupsdriver3@mailinator.com","status":1,"updatedAt":"2020-02-26T16:54:22.000Z","phoneNo":"+416-953-6898","vin":"1234567891011GGHV"},{"userId":127,"firstName":"John","lastName":"pud","emailId":"pudjohn@mailinator.com","status":1,"updatedAt":"2020-02-26T17:42:00.000Z","phoneNo":"4343545546","vin":"54645756876879795"},{"userId":146,"firstName":"Peter","lastName":"Bakhit","emailId":"pickupsdriver5@mailinator.com","status":1,"updatedAt":"2020-02-26T19:32:30.000Z","phoneNo":"+416-953-6898","vin":"WFHEHEJRJJR133445"}],"pageMetaData":{"chunk":10,"total":85,"page":2,"totalPages":9}}
12/3/2020 11:11 | /src/responses/response.js(26) | vbOBY3bIhW7BeDOkyjrsM1ueyHGmCN8s | IP - Unknown | [info] | URL : http://192.168.10.118:2081/api/user/drivers?page=2&chunk=10&status=4 | Request : {} | Response :  {"list":[],"pageMetaData":{"chunk":10,"total":4,"page":2,"totalPages":1}}
12/3/2020 11:12 | /src/responses/response.js(26) | X1aTXCzkuEEF7ocdy6tm1g6DdzMT4Et3 | IP - Unknown | [info] | URL : http://192.168.10.118:2081/api/user/drivers?page=2&chunk=10&status=4 | Request : {} | Response :  {"list":[],"pageMetaData":{"chunk":10,"total":0,"page":2,"totalPages":0}}
12/3/2020 11:12 | /src/responses/response.js(26) | EmM8PUMwpo2Q9mgN3Jz28l6lSHeNRcaM | IP - Unknown | [info] | URL : http://192.168.10.118:2081/api/user/drivers?page=2&chunk=10&status=4 | Request : {} | Response :  {"list":[],"pageMetaData":{"chunk":10,"total":0,"page":2,"totalPages":0}}
12/3/2020 11:12 | /src/responses/response.js(26) | ACaEIRYf5oyUcsMmx1GS6vxHeP1G64Ym | IP - Unknown | [info] | URL : http://192.168.10.118:2081/api/user/drivers?page=2&chunk=10&status=1 | Request : {} | Response :  {"list":[{"userId":399,"firstName":"kamala","lastName":"karri","emailId":"kamala@mailinator.com","status":1,"updatedAt":"2020-03-10T14:05:54.000Z","phoneNo":"+435-565-3675","vin":"5LMRU27A0XLJ34790","screeningCanadastatus":"In Progress"},{"userId":399,"firstName":"kamala","lastName":"karri","emailId":"kamala@mailinator.com","status":1,"updatedAt":"2020-03-10T14:05:54.000Z","phoneNo":"+435-565-3675","vin":"5LMRU27A0XLJ34790","screeningCanadastatus":"In Progress"},{"userId":418,"firstName":"bun","lastName":"tam","emailId":"bun12@mailinator.com","status":1,"updatedAt":"2020-03-10T18:12:17.000Z","phoneNo":"+452-136-7268","vin":"NM0LS7DN1CT079720","screeningCanadastatus":"In Progress"},{"userId":418,"firstName":"bun","lastName":"tam","emailId":"bun12@mailinator.com","status":1,"updatedAt":"2020-03-10T18:12:17.000Z","phoneNo":"+452-136-7268","vin":"NM0LS7DN1CT079720","screeningCanadastatus":"In Progress"},{"userId":418,"firstName":"bun","lastName":"tam","emailId":"bun12@mailinator.com","status":1,"updatedAt":"2020-03-10T18:12:17.000Z","phoneNo":"+452-136-7268","vin":"NM0LS7DN1CT079720","screeningCanadastatus":"In Progress"},{"userId":418,"firstName":"bun","lastName":"tam","emailId":"bun12@mailinator.com","status":1,"updatedAt":"2020-03-10T18:12:17.000Z","phoneNo":"+452-136-7268","vin":"NM0LS7DN1CT079720","screeningCanadastatus":"In Progress"},{"userId":418,"firstName":"bun","lastName":"tam","emailId":"bun12@mailinator.com","status":1,"updatedAt":"2020-03-10T18:12:17.000Z","phoneNo":"+452-136-7268","vin":"NM0LS7DN1CT079720","screeningCanadastatus":"In Progress"},{"userId":397,"firstName":"Bassam","lastName":"Bakhit","emailId":"interchangeelectronics@gmail.com","status":1,"updatedAt":"2020-03-10T13:17:41.000Z","phoneNo":"+705-752-1889","vin":"GW172835467724892","screeningCanadastatus":"In Progress"},{"userId":397,"firstName":"Bassam","lastName":"Bakhit","emailId":"interchangeelectronics@gmail.com","status":1,"updatedAt":"2020-03-10T13:17:41.000Z","phoneNo":"+705-752-1889","vin":"GW172835467724892","screeningCanadastatus":"In Progress"},{"userId":397,"firstName":"Bassam","lastName":"Bakhit","emailId":"interchangeelectronics@gmail.com","status":1,"updatedAt":"2020-03-10T13:17:41.000Z","phoneNo":"+705-752-1889","vin":"GW172835467724892","screeningCanadastatus":"In Progress"}],"pageMetaData":{"chunk":10,"total":24,"page":2,"totalPages":3}}
12/3/2020 11:23 | /src/responses/response.js(26) | hTm1dnCz7DlXn3LNYoxnMryhhGWrQMhx | IP - Unknown | [info] | URL : http://192.168.10.118:2081/api/user/drivers?page=2&chunk=10&status=1 | Request : {} | Response :  {"list":[{"userId":73,"firstName":"himabindu","lastName":"avi","emailId":"naveenm96@gmail.com","status":1,"updatedAt":"2020-02-24T04:34:45.000Z","phoneNo":"+123-456-7890","vin":"1234458999166E647","screeningCanadastatus":null},{"userId":106,"firstName":"bharti","lastName":"patel","emailId":"bhartidriver@mailinator.com","status":1,"updatedAt":"2020-02-25T21:02:04.000Z","phoneNo":"+111-111-1111","vin":"1HGC82633A0043567","screeningCanadastatus":null},{"userId":120,"firstName":"patel","lastName":"bharti","emailId":"patel@mailinator.com","status":1,"updatedAt":"2020-02-26T15:43:14.000Z","phoneNo":"+647-785-9596","vin":"2468926W68W5W67Q8","screeningCanadastatus":null},{"userId":109,"firstName":"Chris","lastName":"pud","emailId":"pudchris@mailinator.com","status":1,"updatedAt":"2020-02-26T01:52:27.000Z","phoneNo":"+416-668-5123","vin":"JM1GJ1V51E1109106","screeningCanadastatus":null},{"userId":43,"firstName":"Kick","lastName":"Bhupathi","emailId":"bhupathy1@mailinator.com","status":1,"updatedAt":"2020-02-21T11:00:34.000Z","phoneNo":"+937-507-8906","vin":"FGHHJHGGHB45FGHJJ","screeningCanadastatus":null},{"userId":122,"firstName":"pooja","lastName":"Hariprasad","emailId":"pickupsdriver1@mailinator.com","status":1,"updatedAt":"2020-02-26T16:15:34.000Z","phoneNo":"+111-111-1111","vin":"123456789012345WT","screeningCanadastatus":null},{"userId":124,"firstName":"hima","lastName":"avi","emailId":"pickupsdriver2@mailinator.com","status":1,"updatedAt":"2020-02-26T16:49:15.000Z","phoneNo":"+111-111-1111","vin":"12YEYE78TO6699DJJ","screeningCanadastatus":null},{"userId":125,"firstName":"Nikatha","lastName":"App","emailId":"pickupsdriver3@mailinator.com","status":1,"updatedAt":"2020-02-26T16:54:22.000Z","phoneNo":"+416-953-6898","vin":"1234567891011GGHV","screeningCanadastatus":null},{"userId":127,"firstName":"John","lastName":"pud","emailId":"pudjohn@mailinator.com","status":1,"updatedAt":"2020-02-26T17:42:00.000Z","phoneNo":"4343545546","vin":"54645756876879795","screeningCanadastatus":null},{"userId":146,"firstName":"Peter","lastName":"Bakhit","emailId":"pickupsdriver5@mailinator.com","status":1,"updatedAt":"2020-02-26T19:32:30.000Z","phoneNo":"+416-953-6898","vin":"WFHEHEJRJJR133445","screeningCanadastatus":null}],"pageMetaData":{"chunk":10,"total":85,"page":2,"totalPages":9}}
12/3/2020 11:31 | /src/responses/response.js(26) | O1BsqwAaqyCKu3TqaPM4WVdv5Q1Q8aZl | IP - Unknown | [info] | URL : http://192.168.10.118:2081/api/user/verify_token | Request : {} | Response :  {"userId":337,"firstName":"driver","lastName":"driver","emailId":"prakashdriver@doodleblue.com","typeId":3,"status":1,"createdAt":"2020-03-09T09:36:09.000Z","updatedAt":"2020-03-09T09:36:09.000Z","createdBy":null,"updatedBy":null,"userDetails":{"detailsId":263,"emailStatus":2,"signUpStatus":7,"phoneNo":"7898402337"},"addressDetails":null,"changedPassword":true}
12/3/2020 11:31 | /src/responses/response.js(26) | 5GD4BK6Wbsw5HXpjV8LaukD6FETeWTtK | IP - Unknown | [info] | URL : http://192.168.10.118:2081/api/user/verify_token | Request : {} | Response :  {"userId":337,"firstName":"driver","lastName":"driver","emailId":"prakashdriver@doodleblue.com","typeId":3,"status":1,"createdAt":"2020-03-09T09:36:09.000Z","updatedAt":"2020-03-09T09:36:09.000Z","createdBy":null,"updatedBy":null,"userDetails":{"detailsId":263,"emailStatus":2,"signUpStatus":7,"phoneNo":"7898402337"},"addressDetails":null,"changedPassword":true}
